
No compatibility mode selected!


Circuit: arithmatic_logic_unit 4 bit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
l                                   7.7608e-09
x_and2.x                                   1.8
x_and2.y                               1.40894
e                                  7.42811e-09
x_en3.x7.x                         2.97124e-08
x_en3.x7.y                         1.48562e-08
ana3                                       1.8
x_en3.x8.x                         2.97124e-08
x_en3.x8.y                         1.48562e-08
ana2                                       1.8
x_en3.x9.x                         2.97124e-08
x_en3.x9.y                         1.48562e-08
ana1                                       1.8
x_en3.x10.x                        2.97124e-08
x_en3.x10.y                        1.48562e-08
ana0                                       1.8
x_en3.x11.x                        2.97124e-08
x_en3.x11.y                        1.48562e-08
anb3                                       1.8
x_en3.x12.x                        2.97124e-08
x_en3.x12.y                        1.48562e-08
anb2                                       1.8
x_en3.x13.x                        2.97124e-08
x_en3.x13.y                        1.48562e-08
anb1                                       1.8
x_en3.x14.x                        2.97124e-08
x_en3.x14.y                        1.48562e-08
anb0                                       1.8
x_an.x39.x                         2.97124e-08
x_an.x39.y                         1.48562e-08
out_and3                                   1.8
x_an.x40.x                         2.97124e-08
x_an.x40.y                         1.48562e-08
out_and2                                   1.8
x_an.x41.x                         2.97124e-08
x_an.x41.y                         1.48562e-08
out_and1                                   1.8
x_an.x42.x                         2.97124e-08
x_an.x42.y                         1.48562e-08
out_and0                                   1.8
vb0#branch                                   0
vb1#branch                                   0
vb2#branch                                   0
vb3#branch                                   0
va0#branch                                   0
va1#branch                                   0
va2#branch                                   0
va3#branch                                   0
vs1#branch                                   0
vs0#branch                                   0
vdd#branch                        -1.95003e-09


No. of Data Rows : 241
