VCD info: dumpfile ALU_out.vcd opened for output.
at T=   0:A = xxxx, B = xxxx,S1 = x,S0 = x, Add_Sub = xxxxx, is A>B:x, is A=B:x, is A<B:x, AND = xxxx
at T=  88:A = 0010, B = 1011,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  90:A = 0010, B = 1100,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  92:A = 0010, B = 1101,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  94:A = 0010, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  96:A = 0010, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T=  98:A = 0011, B = 0000,S1 = 0,S0 = 0, Add_Sub = 00011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 100:A = 0011, B = 0001,S1 = 0,S0 = 0, Add_Sub = 00100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 102:A = 0011, B = 0010,S1 = 0,S0 = 0, Add_Sub = 00101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 104:A = 0011, B = 0011,S1 = 0,S0 = 0, Add_Sub = 00110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 106:A = 0011, B = 0100,S1 = 0,S0 = 0, Add_Sub = 00111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 108:A = 0011, B = 0101,S1 = 0,S0 = 0, Add_Sub = 01000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 110:A = 0011, B = 0110,S1 = 0,S0 = 0, Add_Sub = 01001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 112:A = 0011, B = 0111,S1 = 0,S0 = 0, Add_Sub = 01010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 114:A = 0011, B = 1000,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 116:A = 0011, B = 1001,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 118:A = 0011, B = 1010,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 120:A = 0011, B = 1011,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 122:A = 0011, B = 1100,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 124:A = 0011, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 126:A = 0011, B = 1110,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 128:A = 0011, B = 1111,S1 = 0,S0 = 0, Add_Sub = 10010, is A>B:0, is A=B:0, is A<B:0, AND = 0000
